
  ITER     CL        CM    IERR JERR    ERROR    IRL  JRL    BIGRL        ERCIRC
   10   0.22070  -0.15762   56   28   0.2513E-01  17  28   0.2098E+04   0.9727E-02
   20   0.21024  -0.15626   70   28   0.1210E-01  18  28   0.2964E+04   0.9538E-02
   30   0.17463  -0.13633    6   47   0.4930E-01  17  28   0.1203E+04   0.7139E-02
   40   0.11290  -0.10197   62   14   0.1162E-01  17  28   0.4448E+03   0.1156E-01
   50   0.06898  -0.07751   67   14   0.9548E-02  17  28   0.2571E+03   0.8345E-02
   60   0.03339  -0.05714    5   26   0.7540E-02  17  28   0.2496E+03   0.6752E-02
   70   0.01087  -0.04451    6   49   0.5980E-02  17  29   0.3147E+03   0.3491E-02
   80   0.00420  -0.04136    6   50   0.5633E-02  17  29   0.4043E+03   0.5459E-03
   90   0.00442  -0.04205    6   51   0.4614E-02  17  29   0.4866E+03   0.1628E-03
  100   0.00512  -0.04265    5   48   0.4344E-02  17  29   0.5700E+03   0.1186E-03
  110   0.00568  -0.04285    5    8   0.4412E-02  17  29   0.6462E+03   0.1186E-03
  120   0.00626  -0.04285    4   13   0.3791E-02  17  29   0.7043E+03   0.1281E-03
  130   0.00671  -0.04272    4   20   0.3615E-02  17  28   0.7400E+03   0.8044E-04
  140   0.00703  -0.04253    3   25   0.3533E-02  17  28   0.7554E+03   0.6124E-04
  150   0.00709  -0.04226    3   49   0.4177E-02  17  28   0.7724E+03   0.1369E-04
  160   0.00783  -0.04242    8   27   0.7479E-02  17  28   0.4868E+03   0.1487E-02
  170   0.00727  -0.04184   12   29   0.3313E-02  17  28   0.7542E+03   0.2836E-04
  180   0.00756  -0.04184    9   29   0.2905E-02  17  28   0.6985E+03   0.1038E-04
  190   0.00771  -0.04178   16   28   0.2578E-02  17  28   0.6226E+03   0.1149E-04
  200   0.00783  -0.04173   16   28   0.2294E-02  17  28   0.5530E+03   0.2070E-04
  210   0.00792  -0.04168   16   28   0.2028E-02  17  28   0.4876E+03   0.1798E-04
  220   0.00799  -0.04163   16   28   0.1791E-02  17  28   0.4297E+03   0.1491E-04
  230   0.00806  -0.04159   16   28   0.1584E-02  17  28   0.3793E+03   0.1438E-04
  240   0.00813  -0.04156   16   28   0.1402E-02  17  28   0.3352E+03   0.1411E-04
  250   0.00819  -0.04154   16   28   0.1243E-02  17  28   0.2969E+03   0.1337E-04
  260   0.00824  -0.04151   16   28   0.1104E-02  17  28   0.2634E+03   0.1197E-04
  270   0.00829  -0.04149   16   28   0.9811E-03  17  28   0.2339E+03   0.1181E-04
  280   0.00833  -0.04147   16   28   0.8726E-03  17  28   0.2078E+03   0.7825E-05
  290   0.00837  -0.04145   16   28   0.7766E-03  17  28   0.1847E+03   0.7406E-05
  300   0.00841  -0.04143   16   28   0.6910E-03  17  28   0.1643E+03   0.9643E-05
  310   0.00844  -0.04142   16   28   0.6158E-03  17  28   0.1464E+03   0.5150E-05
  320   0.00847  -0.04140   16   28   0.5486E-03  17  28   0.1303E+03   0.6016E-05
  330   0.00849  -0.04139   16   28   0.4895E-03  17  28   0.1163E+03   0.7829E-05
  340   0.00852  -0.04138   16   28   0.4363E-03  17  28   0.1035E+03   0.7480E-05
  350   0.00854  -0.04137   16   28   0.3887E-03  17  28   0.9224E+02   0.4524E-05
  360   0.00855  -0.04136   16   28   0.3471E-03  17  28   0.8228E+02   0.4917E-05
  370   0.00857  -0.04136   16   29   0.3092E-03  17  28   0.7325E+02   0.2831E-06
  380   0.00858  -0.04135   17   28   0.2760E-03  17  28   0.6549E+02   0.1051E-05
