0         CL =  0.008688
          CM = -0.041285
         CP* = -0.043010
  TSFOIL2   Mach =   0.975   CL =   0.009
    i     X/C        Cp-up     M-up      Cp-low    M-low
    0  -1.0750     0.21298   0.8403     0.21298   0.8403
    0  -0.9500     0.21851   0.8365     0.21851   0.8365
    0  -0.8250     0.22639   0.8311     0.22639   0.8311
    0  -0.7000     0.23947   0.8220     0.23947   0.8220
    0  -0.5750     0.25921   0.8081     0.25921   0.8081
    0  -0.4500     0.28691   0.7882     0.28691   0.7882
    0  -0.3500     0.32333   0.7612     0.32333   0.7612
    0  -0.2500     0.37225   0.7234     0.37225   0.7234
    0  -0.1750     0.43304   0.6734     0.43304   0.6734
    0  -0.1250     0.50490   0.6091     0.50490   0.6091
    0  -0.0750     0.59625   0.5159     0.59625   0.5159
    0  -0.0525     0.69055   0.3973     0.69055   0.3973
    0  -0.0350     0.77976   0.2355     0.77976   0.2355
    0  -0.0225     0.86961   0.0000     0.86961   0.0000
    0  -0.0150     0.95210   0.0000     0.95210   0.0000
    0  -0.0075     1.03276   0.0000     1.03276   0.0000
    0  -0.0025     1.11202   0.0000     1.11202   0.0000
    0   0.0025     1.23367   0.0000     1.24729   0.0000
    0   0.0075     0.99182   0.0000     1.00482   0.0000
    0   0.0125     0.75885   0.2819     0.76897   0.2605
    0   0.0175     0.58796   0.5250     0.59231   0.5203
    0   0.0225     0.47083   0.6404     0.46739   0.6435
    0   0.0275     0.38392   0.7141     0.37228   0.7234
    0   0.0325     0.31697   0.7660     0.29745   0.7805
    0   0.0375     0.26134   0.8066     0.23395   0.8259
    0   0.0450     0.20532   0.8455     0.17037   0.8689
    0   0.0550     0.15330   0.8801     0.11379   0.9055
    0   0.0650     0.11163   0.9069     0.07129   0.9321
    0   0.0750     0.07799   0.9279     0.03875   0.9519
    0   0.0850     0.04766   0.9465     0.01063   0.9687
    0   0.0975     0.01494   0.9662    -0.01909   0.9862
    0   0.1150    -0.02601   0.9902    -0.06234   1.0110
    0   0.1406    -0.08015   1.0211    -0.11283   1.0393
    0   0.1719    -0.13231   1.0500    -0.15820   1.0641
    0   0.2031    -0.17205   1.0715    -0.19972   1.0862
    0   0.2344    -0.20732   1.0902    -0.23859   1.1066
    0   0.2656    -0.23940   1.1070    -0.28107   1.1284
    0   0.2969    -0.26957   1.1225    -0.33316   1.1546
    0   0.3281    -0.29925   1.1376    -0.39581   1.1853
    0   0.3594    -0.32833   1.1522    -0.46344   1.2176
    0   0.3906    -0.35679   1.1663    -0.52920   1.2483
    0   0.4219    -0.38573   1.1804    -0.58820   1.2751
    0   0.4531    -0.41682   1.1955    -0.63767   1.2972
    0   0.4844    -0.45078   1.2117    -0.67627   1.3141
    0   0.5156    -0.48707   1.2287    -0.70397   1.3262
    0   0.5469    -0.52435   1.2460    -0.72225   1.3341
    0   0.5781    -0.55997   1.2623    -0.73317   1.3388
    0   0.6094    -0.59140   1.2765    -0.73810   1.3409
    0   0.6406    -0.61863   1.2887    -0.73759   1.3407
    0   0.6719    -0.64298   1.2995    -0.73145   1.3380
    0   0.7031    -0.66569   1.3095    -0.71925   1.3328
    0   0.7344    -0.68712   1.3189    -0.70040   1.3246
    0   0.7656    -0.70725   1.3276    -0.67527   1.3137
    0   0.7969    -0.72609   1.3357    -0.64428   1.3001
    0   0.8281    -0.74342   1.3432    -0.60548   1.2829
    0   0.8594    -0.75925   1.3499    -0.55875   1.2618
    0   0.8850    -0.77229   1.3554    -0.51233   1.2405
    0   0.9000    -0.78198   1.3595    -0.47218   1.2218
    0   0.9150    -0.79064   1.3632    -0.43152   1.2025
    0   0.9300    -0.79980   1.3670    -0.38328   1.1792
    0   0.9450    -0.80956   1.3711    -0.32380   1.1499
    0   0.9600    -0.82048   1.3757    -0.22489   1.0995
    0   0.9750    -0.83364   1.3812     0.04751   0.9466
    0   0.9900    -0.79059   1.3632     0.28674   0.7883
    0   1.0000    -0.65032   1.3028    -0.02102   0.9873
    0   1.0100    -0.42953   1.2015    -0.42953   1.2015
    0   1.0250    -0.38331   1.1793    -0.38331   1.1793
    0   1.0500    -0.36081   1.1683    -0.36081   1.1683
    0   1.0900    -0.35576   1.1658    -0.35576   1.1658
    0   1.1500    -0.35154   1.1637    -0.35154   1.1637
    0   1.2250    -0.34113   1.1586    -0.34113   1.1586
    0   1.3000    -0.32506   1.1506    -0.32506   1.1506
    0   1.4000    -0.30752   1.1418    -0.30752   1.1418
    0   1.5000    -0.14140   1.0550    -0.14140   1.0550
    0   1.6250     0.13322   0.8931     0.13322   0.8931
    0   1.7500     0.25559   0.8107     0.25559   0.8107
    0   1.8750     0.26614   0.8032     0.26614   0.8032
